generation,N_shifts,logPrior,logLik,eventRate,acceptRate
63500,0,0.162016,-798.897,0.332924,0.348
64000,0,0.0545356,-799.834,0.56302,0.321
64500,0,-1.19713,-798.607,1.43577,0.272
65000,0,-0.512259,-797.926,0.766601,0.306
65500,0,0.0585253,-799.059,0.269927,0.276
66000,0,-1.22267,-798.768,1.28639,0.306
66500,0,-0.122887,-798.771,0.162004,0.314
67000,0,-0.100485,-799.483,0.231124,0.32
67500,0,0.0150089,-798.621,0.160554,0.31
68000,0,-2.081,-798.354,2.1725,0.31
68500,0,-0.650379,-799.529,0.436233,0.312
69000,0,-0.272846,-798.847,0.833295,0.3055
69500,0,0.362876,-798.844,0.0779053,0.364
70000,0,-1.28193,-798.94,1.12347,0.3184
70500,0,-0.396632,-799.676,0.434846,0.316
71000,0,0.267501,-797.388,0.0462247,0.305
71500,0,0.179496,-797.627,0.127915,0.288
72000,0,-1.10487,-798.166,1.42851,0.275
72500,0,0.265496,-800.512,0.188461,0.286
73000,0,-0.117404,-798.941,0.671013,0.289
73500,0,0.543667,-798.051,0.0310059,0.322
74000,0,0.161614,-798.145,0.540885,0.315
74500,0,0.125059,-800.716,0.255268,0.286
75000,0,-0.873681,-797.663,1.63337,0.305235
75500,0,-0.20064,-798.488,0.915283,0.348
76000,0,0.538088,-798.092,0.119059,0.322
76500,0,0.617731,-799.695,0.0596859,0.3
77000,0,0.425459,-800.904,0.212866,0.294
77500,0,-0.108,-798.834,0.587052,0.284
78000,0,-0.152504,-801.752,0.746308,0.304
78500,0,0.313419,-798.275,0.291184,0.276
79000,0,-0.802073,-798.306,1.32634,0.31
79500,0,0.0389767,-798.161,0.65804,0.298
80000,0,0.0415158,-798.787,0.311503,0.303
80500,0,-0.440045,-798.533,0.880051,0.292
81000,0,0.199979,-800.333,0.12458,0.297667
81500,0,0.391898,-801.008,0.0796318,0.298
82000,0,0.398221,-798.549,0.357573,0.297
82500,0,0.469835,-798.662,0.0895496,0.298
83000,0,0.255798,-798.286,0.128292,0.288
83500,0,0.703282,-798.295,0.0695591,0.276
84000,0,-0.666172,-799.711,1.49642,0.285667
84500,0,0.331249,-798.26,0.0972354,0.284
85000,0,0.305913,-798.558,0.166833,0.2928
85500,0,0.299022,-798.379,0.0332338,0.264
86000,0,0.00366883,-799.011,0.326571,0.307
